dataset,missing_date
oil,2017-06-11
oil,2017-06-17
oil,2017-06-18
oil,2017-06-24
oil,2017-06-25
oil,2017-07-01
oil,2017-07-02
oil,2017-07-08
oil,2017-07-09
oil,2017-07-15
oil,2017-07-16
oil,2017-07-22
oil,2017-07-23
oil,2017-07-29
oil,2017-07-30
oil,2017-08-05
oil,2017-08-06
oil,2017-08-12
oil,2017-08-13
oil,2017-08-19
oil,2017-08-20
oil,2017-08-26
oil,2017-08-27
transactions,2013-12-25
transactions,2014-12-25
transactions,2015-12-25
transactions,2016-01-01
transactions,2016-01-03
transactions,2016-12-25
