date,total_sales,mean_daily_sales,median_daily_sales,mean_oil_price,median_oil_price,total_promotion_units,mean_promotion_rows_pct,sales_index,oil_price_index
2016-08-01,22452414.3178949,724271.4296095128,715195.5388238,44.95161290322581,45.72,271592,0.3643785525505956,1.133371169356693,0.6634661669511994
2016-09-01,22417448.0969967,747248.26989989,686535.971721,44.952,44.519999999999996,296361,0.3585858585858586,1.16932631998588,0.6634718803304627
2016-10-01,24030389.816292,775173.8650416774,710456.4240015,49.66451612903226,49.76,370514,0.4055971905434271,1.2130254956359443,0.733026559481928
2016-11-01,24642640.1973935,821421.3399131167,782019.559934,45.51133333333333,45.465,438358,0.44369622147399923,1.2853955388711122,0.6717273959559782
2016-12-01,29640287.5793851,988009.5859795033,942040.0498895501,51.981,51.93,517498,0.47723531612420506,1.5460800109165376,0.7672168493383561
2017-01-01,26328159.9357051,849295.4817969387,782656.0246723,52.69806451612904,52.45,363428,0.46098982658122445,1.3290141982440415,0.7778004083086886
2017-02-01,23250112.3749368,830361.1562477428,779657.1825814999,53.550357142857145,53.71,297254,0.47272326438993106,1.2993849490270148,0.7903798751098785
2017-03-01,26704017.6908793,861419.9255122355,812306.77427,49.30903225806451,48.34,339291,0.43037905941131743,1.3479870506714995,0.7277797728584603
2017-04-01,25895308.489555098,863176.9496518367,793779.1033775001,51.10666666666667,50.765,371042,0.45241301907968573,1.3507365178219037,0.7543120713373269
2017-05-01,26911847.250593,868124.1048578387,807803.8950783,48.51548387096774,48.64,414646,0.49187212628072846,1.3584780396486567,0.7160673453686867
2017-06-01,25682822.1249936,856094.07083312,793131.26490045,45.202999999999996,44.835,394582,0.44377104377104376,1.3396529235767067,0.6671765306677768
2017-07-01,27011477.5658307,871337.9859945388,818325.522149,46.53612903225807,46.02,409128,0.4231019876181166,1.3635072594593,0.686852932735658
2017-08-01,12433322.9407775,828888.1960518333,797464.963817,48.97933333333334,49.07,160278,0.44085297418630753,1.2970799973867797,0.7229135607759205
