date,family,total_sales,mean_store_sales,median_store_sales,max_store_sales,total_promotion_units,promoted_stores,zero_sales_stores,total_stores,promoted_stores_pct,zero_sales_stores_pct,family_sales_p01,family_sales_p99,family_day_anomaly_flag
2017-02-25,AUTOMOTIVE,630.0,11.666666666666666,9.0,50.0,29,8,1,54,0.14814814814814814,0.018518518518518517,161.0,629.0,family_top_1_pct
2017-03-05,AUTOMOTIVE,663.0,12.277777777777779,10.0,40.0,0,0,2,54,0.0,0.037037037037037035,161.0,629.0,family_top_1_pct
2017-04-01,AUTOMOTIVE,759.0,14.055555555555555,12.0,44.0,36,18,2,54,0.3333333333333333,0.037037037037037035,161.0,629.0,family_top_1_pct
2017-05-01,AUTOMOTIVE,657.0,12.166666666666666,11.0,41.0,39,18,1,54,0.3333333333333333,0.018518518518518517,161.0,629.0,family_top_1_pct
2017-06-04,AUTOMOTIVE,650.0,12.037037037037036,10.0,36.0,1,1,1,54,0.018518518518518517,0.018518518518518517,161.0,629.0,family_top_1_pct
2013-01-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-08,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-09,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-10,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-11,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-12,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-13,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-14,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-15,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-16,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-17,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-18,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-19,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-20,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-21,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-22,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-23,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-24,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-25,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-26,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-27,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-28,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-29,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-30,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-01-31,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-08,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-09,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-10,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-11,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-12,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-13,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-14,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-15,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-16,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-17,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-18,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-19,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-20,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-21,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-22,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-23,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-24,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-25,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-26,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-27,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-02-28,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-08,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-09,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-10,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-11,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-12,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-13,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-14,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-15,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-16,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-17,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-18,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-19,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-20,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-21,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-22,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-23,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-24,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-25,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-26,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-27,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-28,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-29,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-30,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-03-31,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-08,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-09,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-10,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-11,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-12,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-13,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-14,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-15,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-16,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-17,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-18,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-19,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-20,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-21,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-22,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-23,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-24,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-25,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-26,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-27,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-28,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-29,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-04-30,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-08,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-09,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-10,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-11,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-12,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-13,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-14,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-15,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-16,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-17,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-18,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-19,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-20,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-21,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-22,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-23,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-24,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-25,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-26,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-27,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-28,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-29,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-30,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-05-31,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-01,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-02,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-03,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-04,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-05,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-06,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
2013-06-07,BABY CARE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,0.0,28.170000000000073,family_bottom_1_pct
