store_nbr,observed_days,zero_sales_days,total_sales,mean_daily_sales,mean_zero_sales_families_pct,zero_sales_days_pct,city,state,store_type,cluster
40,1684,5,18395757.405968,10923.846440598574,0.31177571438854096,0.0029691211401425177,Machala,El Oro,C,3
39,1684,5,20252192.53354,12026.242597114015,0.21820341179011013,0.0029691211401425177,Cuenca,Azuay,B,6
46,1684,5,41896062.1216342,24878.896746813658,0.1932088101921831,0.0029691211401425177,Quito,Pichincha,A,14
45,1684,5,54498010.416674,32362.238964770786,0.19358669833729217,0.0029691211401425177,Quito,Pichincha,A,11
47,1684,5,50948310.061006,30254.34089133373,0.18953789678255237,0.0029691211401425177,Quito,Pichincha,A,14
48,1684,5,35933130.2739365,21337.963345567994,0.21321888720938603,0.0029691211401425177,Quito,Pichincha,A,14
50,1684,5,28653020.6246953,17014.857853144476,0.2065248686388829,0.0029691211401425177,Ambato,Tungurahua,A,14
49,1684,5,43420095.783768,25783.904859719714,0.19347873029583243,0.0029691211401425177,Quito,Pichincha,A,11
51,1684,5,32911489.537604,19543.639867935868,0.2012164399337796,0.0029691211401425177,Guayaquil,Guayas,A,17
54,1684,5,11057483.1179049,6566.201376428087,0.34747714676455765,0.0029691211401425177,El Carmen,Manabi,C,3
