date,total_sales,total_promotion_units,promoted_rows,total_rows,promoted_rows_pct
2013-05-18,480969.558942,0,0,1782,0.0
2013-05-19,518153.554009,0,0,1782,0.0
2013-05-20,341787.214991,0,0,1782,0.0
2013-05-21,307178.399952,0,0,1782,0.0
2013-05-22,301785.4831075,0,0,1782,0.0
2013-05-23,289261.058026,0,0,1782,0.0
2013-05-24,398389.241982,0,0,1782,0.0
2013-05-25,417930.141993,0,0,1782,0.0
2013-05-26,450631.400068,0,0,1782,0.0
2013-05-27,321630.8309235,0,0,1782,0.0
2013-05-28,307329.1680565,0,0,1782,0.0
2013-05-29,309333.380899,0,0,1782,0.0
2013-05-30,304344.849939,0,0,1782,0.0
2013-05-31,330257.841975,0,0,1782,0.0
2013-06-01,566901.814988,0,0,1782,0.0
2013-06-02,637698.494958,0,0,1782,0.0
2013-06-03,426332.097995,0,0,1782,0.0
2013-06-04,369705.160085,0,0,1782,0.0
2013-06-05,361791.080915,0,0,1782,0.0
2013-06-06,317496.765891,0,0,1782,0.0
2013-06-07,357673.087977,0,0,1782,0.0
2013-06-08,466292.699096,0,0,1782,0.0
2013-06-09,526804.730256,0,0,1782,0.0
2013-06-10,349754.291978,0,0,1782,0.0
2013-06-11,283858.2159925,0,0,1782,0.0
2013-06-12,320173.5779987,0,0,1782,0.0
2013-06-13,282886.9200452,0,0,1782,0.0
2013-06-14,326956.7421072,0,0,1782,0.0
2013-06-15,505950.6668701,0,0,1782,0.0
2013-06-16,435894.082881,0,0,1782,0.0
2013-06-17,370944.271024,0,0,1782,0.0
2013-06-18,320885.3399215,0,0,1782,0.0
2013-06-19,319235.25797700003,0,0,1782,0.0
2013-06-20,293877.944015,0,0,1782,0.0
2013-06-21,319722.6870265,0,0,1782,0.0
2013-06-22,446347.312096,0,0,1782,0.0
2013-06-23,504964.845142,0,0,1782,0.0
2013-06-24,336631.9640383,0,0,1782,0.0
2013-06-25,305119.530064,0,0,1782,0.0
2013-06-26,301847.2489636,0,0,1782,0.0
2013-06-27,266525.458966,0,0,1782,0.0
2013-06-28,324210.971803,0,0,1782,0.0
2013-06-29,509379.108146,0,0,1782,0.0
2013-06-30,533481.693027,0,0,1782,0.0
2013-07-01,441758.3880965,0,0,1782,0.0
2013-07-02,390958.38408,0,0,1782,0.0
2013-07-03,374551.917949,0,0,1782,0.0
2013-07-04,327020.179028,0,0,1782,0.0
2013-07-05,351401.500074,0,0,1782,0.0
2013-07-06,479514.493924,0,0,1782,0.0
2013-07-07,500606.073078,0,0,1782,0.0
2013-07-08,365452.995017,0,0,1782,0.0
2013-07-09,317279.1449993,0,0,1782,0.0
2013-07-10,314134.886071,0,0,1782,0.0
2013-07-11,281750.931023,0,0,1782,0.0
2013-07-12,308786.438133,0,0,1782,0.0
2013-07-13,432569.1022205,0,0,1782,0.0
2013-07-14,438722.417857,0,0,1782,0.0
2013-07-15,348803.0469486,0,0,1782,0.0
2013-07-16,335516.229006,0,0,1782,0.0
2013-07-17,324313.8180255,0,0,1782,0.0
2013-07-18,287074.8739522,0,0,1782,0.0
2013-07-19,313332.555049,0,0,1782,0.0
2013-07-20,435497.731013,0,0,1782,0.0
2013-07-21,437952.624049,0,0,1782,0.0
2013-07-22,342802.29905,0,0,1782,0.0
2013-07-23,316257.463107,0,0,1782,0.0
2013-07-24,309243.7899995,0,0,1782,0.0
2013-07-25,298074.2249247,0,0,1782,0.0
2013-07-26,318745.692921,0,0,1782,0.0
2013-07-27,423890.5020012,0,0,1782,0.0
2013-07-28,433358.6520873,0,0,1782,0.0
2013-07-29,331493.2850525,0,0,1782,0.0
2013-07-30,318553.989932,0,0,1782,0.0
2013-07-31,357982.979012,0,0,1782,0.0
2013-08-01,397555.3181021,0,0,1782,0.0
2013-08-02,393831.120007,0,0,1782,0.0
2013-08-03,516956.846013,0,0,1782,0.0
2013-08-04,514267.27594,0,0,1782,0.0
2013-08-05,407033.810946,0,0,1782,0.0
2013-08-06,357263.854086,0,0,1782,0.0
2013-08-07,351302.132003,0,0,1782,0.0
2013-08-08,310953.0239315,0,0,1782,0.0
2013-08-09,337521.667868,0,0,1782,0.0
2013-08-10,434184.94409,0,0,1782,0.0
2013-08-11,434720.3230013,0,0,1782,0.0
2013-08-12,349539.224033,0,0,1782,0.0
2013-08-13,317103.331061,0,0,1782,0.0
2013-08-14,324377.386893,0,0,1782,0.0
2013-08-15,311043.17291,0,0,1782,0.0
2013-08-16,364487.3218839,0,0,1782,0.0
2013-08-17,448835.3109167,0,0,1782,0.0
2013-08-18,464053.7730675,0,0,1782,0.0
2013-08-19,362085.52696,0,0,1782,0.0
2013-08-20,343046.11398,0,0,1782,0.0
2013-08-21,335724.643932,0,0,1782,0.0
2013-08-22,306473.26098,0,0,1782,0.0
2013-08-23,331906.369098,0,0,1782,0.0
2013-08-24,420576.154994,0,0,1782,0.0
2013-08-25,443694.093754,0,0,1782,0.0
2013-08-26,347159.6410143,0,0,1782,0.0
2013-08-27,319688.2190185,0,0,1782,0.0
2013-08-28,319322.060993,0,0,1782,0.0
2013-08-29,294518.685943,0,0,1782,0.0
2013-08-30,354932.930947,0,0,1782,0.0
2013-08-31,523631.3811059,0,0,1782,0.0
2013-09-01,640406.221875,0,0,1782,0.0
2013-09-02,458792.960966,0,0,1782,0.0
2013-09-03,397680.420032,0,0,1782,0.0
2013-09-04,392565.48591,0,0,1782,0.0
2013-09-05,330622.779063,0,0,1782,0.0
2013-09-06,335442.247929,0,0,1782,0.0
2013-09-07,518584.247,0,0,1782,0.0
2013-09-08,560852.005091,0,0,1782,0.0
2013-09-09,377151.7070027,0,0,1782,0.0
2013-09-10,308074.4658225,0,0,1782,0.0
2013-09-11,323124.61885,0,0,1782,0.0
2013-09-12,282855.730937,0,0,1782,0.0
2013-09-13,319556.942029,0,0,1782,0.0
2013-09-14,476364.004996,0,0,1782,0.0
2013-09-15,532852.959041,0,0,1782,0.0
2013-09-16,373229.840879,0,0,1782,0.0
2013-09-17,327282.949966,0,0,1782,0.0
2013-09-18,315687.718926,0,0,1782,0.0
2013-09-19,279580.372008,0,0,1782,0.0
2013-09-20,331846.9039701,0,0,1782,0.0
2013-09-21,468298.380896,0,0,1782,0.0
2013-09-22,502068.7019007,0,0,1782,0.0
2013-09-23,356043.0340047,0,0,1782,0.0
2013-09-24,303333.392926,0,0,1782,0.0
2013-09-25,312490.104996,0,0,1782,0.0
2013-09-26,273057.8798588,0,0,1782,0.0
2013-09-27,320246.574024,0,0,1782,0.0
2013-09-28,484903.6890081,0,0,1782,0.0
2013-09-29,522868.441946,0,0,1782,0.0
2013-09-30,367068.4500143,0,0,1782,0.0
2013-10-01,436441.034076,0,0,1782,0.0
2013-10-02,414455.6550375,0,0,1782,0.0
2013-10-03,348933.24703,0,0,1782,0.0
2013-10-04,378109.978059,0,0,1782,0.0
2013-10-05,540156.625057,0,0,1782,0.0
2013-10-06,553031.424016,0,0,1782,0.0
2013-10-07,373387.109043,0,0,1782,0.0
2013-10-08,326726.7240121,0,0,1782,0.0
2013-10-09,322529.418957,0,0,1782,0.0
2013-10-10,305047.0980576,0,0,1782,0.0
2013-10-11,402913.849028,0,0,1782,0.0
2013-10-12,426379.6909939,0,0,1782,0.0
2013-10-13,481781.2559686,0,0,1782,0.0
2013-10-14,342694.7209944,0,0,1782,0.0
2013-10-15,305242.569986,0,0,1782,0.0
2013-10-16,355696.963943,0,0,1782,0.0
2013-10-17,312949.412961,0,0,1782,0.0
2013-10-18,323327.873107,0,0,1782,0.0
2013-10-19,488245.570001,0,0,1782,0.0
2013-10-20,537713.5090483,0,0,1782,0.0
2013-10-21,348721.327971,0,0,1782,0.0
2013-10-22,301641.7850828,0,0,1782,0.0
2013-10-23,323105.11598,0,0,1782,0.0
2013-10-24,276059.0800025,0,0,1782,0.0
2013-10-25,317570.4260338,0,0,1782,0.0
2013-10-26,452902.363914,0,0,1782,0.0
2013-10-27,512891.4830689,0,0,1782,0.0
2013-10-28,346941.91396,0,0,1782,0.0
2013-10-29,302332.9969864,0,0,1782,0.0
2013-10-30,319494.7050373,0,0,1782,0.0
2013-10-31,298195.433106,0,0,1782,0.0
2013-11-01,403637.232955,0,0,1782,0.0
2013-11-02,540615.555037,0,0,1782,0.0
2013-11-03,602796.556029,0,0,1782,0.0
2013-11-04,424314.167046,0,0,1782,0.0
2013-11-05,393322.182909,0,0,1782,0.0
2013-11-06,386426.9788195,0,0,1782,0.0
2013-11-07,346293.3400477,0,0,1782,0.0
2013-11-08,358473.978049,0,0,1782,0.0
2013-11-09,513850.32307,0,0,1782,0.0
2013-11-10,587666.490239,0,0,1782,0.0
2013-11-11,374087.890067,0,0,1782,0.0
2013-11-12,373277.748034,0,0,1782,0.0
2013-11-13,332279.2568851,0,0,1782,0.0
2013-11-14,284567.4029707,0,0,1782,0.0
2013-11-15,349383.296052,0,0,1782,0.0
2013-11-16,524065.5881155,0,0,1782,0.0
2013-11-17,579209.228924,0,0,1782,0.0
2013-11-18,391945.551999,0,0,1782,0.0
2013-11-19,329455.2710234,0,0,1782,0.0
2013-11-20,354337.734795,0,0,1782,0.0
2013-11-21,298047.047965,0,0,1782,0.0
2013-11-22,340734.213038,0,0,1782,0.0
2013-11-23,485544.298837,0,0,1782,0.0
2013-11-24,550925.293106,0,0,1782,0.0
2013-11-25,365965.5090102,0,0,1782,0.0
2013-11-26,323292.830024,0,0,1782,0.0
2013-11-27,337083.286026,0,0,1782,0.0
2013-11-28,305982.981947,0,0,1782,0.0
2013-11-29,357000.404165,0,0,1782,0.0
2013-11-30,541977.655801,0,0,1782,0.0
2013-12-01,698217.128989,0,0,1782,0.0
2013-12-02,495488.366984,0,0,1782,0.0
2013-12-03,424438.046973,0,0,1782,0.0
2013-12-04,424147.0459855,0,0,1782,0.0
2013-12-05,386406.804985,0,0,1782,0.0
2013-12-06,432661.755068,0,0,1782,0.0
2013-12-07,537181.319801,0,0,1782,0.0
2013-12-08,588855.895921,0,0,1782,0.0
2013-12-09,442309.3141075,0,0,1782,0.0
2013-12-10,414421.695986,0,0,1782,0.0
2013-12-11,422957.198908,0,0,1782,0.0
2013-12-12,384256.080979,0,0,1782,0.0
2013-12-13,434657.0129787,0,0,1782,0.0
2013-12-14,554911.917024,0,0,1782,0.0
2013-12-15,642015.7758165,0,0,1782,0.0
2013-12-16,516060.290853,0,0,1782,0.0
2013-12-17,480470.7168425,0,0,1782,0.0
2013-12-18,527481.336925,0,0,1782,0.0
2013-12-19,507461.038187,0,0,1782,0.0
2013-12-20,544104.2676365,0,0,1782,0.0
2013-12-21,685673.07474,0,0,1782,0.0
2013-12-22,696295.146867,0,0,1782,0.0
2013-12-23,792865.284427,0,0,1782,0.0
2013-12-24,620663.290732,0,0,1782,0.0
2013-12-26,470731.1624137,0,0,1782,0.0
2013-12-27,479314.968043,0,0,1782,0.0
2013-12-28,556952.305979,0,0,1782,0.0
2013-12-29,499719.5049237,0,0,1782,0.0
2013-12-30,635134.7358515,0,0,1782,0.0
2013-12-31,507264.6630475,0,0,1782,0.0
2014-01-01,8602.065404,0,0,1782,0.0
2014-01-02,801011.226041,0,0,1782,0.0
2014-01-03,680672.845603,0,0,1782,0.0
2014-01-04,936628.8866039,0,0,1782,0.0
2014-01-05,949618.78894,0,0,1782,0.0
2014-01-06,602268.564009,0,0,1782,0.0
2014-01-07,563450.5988595,0,0,1782,0.0
2014-01-08,636176.853478,0,0,1782,0.0
2014-01-09,496377.933414,0,0,1782,0.0
2014-01-10,543055.329066,0,0,1782,0.0
2014-01-11,787321.455619,0,0,1782,0.0
2014-01-12,844633.598917,0,0,1782,0.0
2014-01-13,555547.0150185,0,0,1782,0.0
2014-01-14,502643.104285,0,0,1782,0.0
2014-01-15,567067.469069,0,0,1782,0.0
2014-01-16,502789.214207,0,0,1782,0.0
2014-01-17,542937.915657,0,0,1782,0.0
2014-01-18,786779.8899055,0,0,1782,0.0
2014-01-19,851735.334091,0,0,1782,0.0
2014-01-20,575850.061871,0,0,1782,0.0
2014-01-21,538817.207912,0,0,1782,0.0
2014-01-22,553097.596874,0,0,1782,0.0
2014-01-23,460789.0398597,0,0,1782,0.0
2014-01-24,526124.572256,0,0,1782,0.0
2014-01-25,733880.979053,0,0,1782,0.0
2014-01-26,814057.732862,0,0,1782,0.0
2014-01-27,540798.833711,0,0,1782,0.0
2014-01-28,481593.435798,0,0,1782,0.0
2014-01-29,512853.989922,0,0,1782,0.0
2014-01-30,453642.97070330003,0,0,1782,0.0
2014-01-31,560816.192394,0,0,1782,0.0
2014-02-01,648870.19898,0,0,1782,0.0
2014-02-02,619805.537102,0,0,1782,0.0
2014-02-03,461637.5229585,0,0,1782,0.0
2014-02-04,403189.5869763,0,0,1782,0.0
2014-02-05,399138.3059075,0,0,1782,0.0
2014-02-06,359139.101529,0,0,1782,0.0
2014-02-07,389471.568011,0,0,1782,0.0
2014-02-08,530128.059914,0,0,1782,0.0
2014-02-09,520753.7470746,0,0,1782,0.0
2014-02-10,396622.737011,0,0,1782,0.0
2014-02-11,358382.7339877,0,0,1782,0.0
2014-02-12,387758.393971,0,0,1782,0.0
2014-02-13,347373.2985675,0,0,1782,0.0
2014-02-14,361206.4069057,0,0,1782,0.0
2014-02-15,538893.357859,0,0,1782,0.0
2014-02-16,595300.23508,0,0,1782,0.0
2014-02-17,412029.2879535,0,0,1782,0.0
2014-02-18,365331.247942,0,0,1782,0.0
2014-02-19,360161.6390075,0,0,1782,0.0
2014-02-20,322451.9201135,0,0,1782,0.0
2014-02-21,369403.653633,0,0,1782,0.0
2014-02-22,538206.082827,0,0,1782,0.0
2014-02-23,487896.463891,0,0,1782,0.0
2014-02-24,404224.188997,0,0,1782,0.0
2014-02-25,351418.110084,0,0,1782,0.0
2014-02-26,353604.266985,0,0,1782,0.0
2014-02-27,330330.185244,0,0,1782,0.0
2014-02-28,425624.795466,0,0,1782,0.0
2014-03-01,911360.2578707,0,0,1782,0.0
2014-03-02,667413.052988,0,0,1782,0.0
2014-03-03,613973.031386,0,0,1782,0.0
2014-03-04,748930.902096,0,0,1782,0.0
2014-03-05,741756.416525,0,0,1782,0.0
2014-03-06,614082.444339,0,0,1782,0.0
2014-03-07,598242.341178,0,0,1782,0.0
2014-03-08,753345.259201,0,0,1782,0.0
2014-03-09,916117.649984,0,0,1782,0.0
2014-03-10,587414.828974,0,0,1782,0.0
2014-03-11,539365.375063,0,0,1782,0.0
2014-03-12,575676.797032,0,0,1782,0.0
2014-03-13,473298.042544,0,0,1782,0.0
2014-03-14,530515.2554715,0,0,1782,0.0
2014-03-15,731049.789851,0,0,1782,0.0
2014-03-16,929808.492772,0,0,1782,0.0
2014-03-17,612719.522118,0,0,1782,0.0
2014-03-18,537427.86875,0,0,1782,0.0
2014-03-19,585974.657018,0,0,1782,0.0
2014-03-20,500897.112641,0,0,1782,0.0
2014-03-21,548811.469984,0,0,1782,0.0
2014-03-22,771704.933772,0,0,1782,0.0
2014-03-23,838814.636064,0,0,1782,0.0
2014-03-24,571762.044919,0,0,1782,0.0
2014-03-25,539861.6183493,0,0,1782,0.0
2014-03-26,569680.543547,0,0,1782,0.0
2014-03-27,468581.398304,0,0,1782,0.0
2014-03-28,538905.781947,0,0,1782,0.0
2014-03-29,822333.142686,0,0,1782,0.0
2014-03-30,873958.8396415,0,0,1782,0.0
2014-03-31,651800.509461,0,0,1782,0.0
2014-04-01,485079.887001,8,2,1782,0.001122334455667789
2014-04-02,463917.316107,4,2,1782,0.001122334455667789
2014-04-03,388867.961418,120,7,1782,0.003928170594837262
2014-04-04,422578.745073,5,3,1782,0.0016835016835016834
2014-04-05,617680.194045,7,5,1782,0.0028058361391694723
2014-04-06,631888.250898,7,2,1782,0.001122334455667789
2014-04-07,426091.1040178,3,2,1782,0.001122334455667789
2014-04-08,376663.272105,8,4,1782,0.002244668911335578
2014-04-09,375309.08201199997,4,2,1782,0.001122334455667789
2014-04-10,334052.7571255,119,10,1782,0.005611672278338945
2014-04-11,379646.845927,14,3,1782,0.0016835016835016834
2014-04-12,529919.922964,10,5,1782,0.0028058361391694723
2014-04-13,540190.281942,16,5,1782,0.0028058361391694723
2014-04-14,381386.309033,8,4,1782,0.002244668911335578
2014-04-15,364689.054991,45,16,1782,0.008978675645342313
2014-04-16,411357.084985,45,19,1782,0.010662177328843996
2014-04-17,397464.842904,455,37,1782,0.020763187429854096
2014-04-18,394392.184115,37,18,1782,0.010101010101010102
2014-04-19,496904.749136,36,17,1782,0.009539842873176206
2014-04-20,520126.3980386,56,19,1782,0.010662177328843996
2014-04-21,398677.396998,28,13,1782,0.007295173961840628
2014-04-22,370552.249018,49,22,1782,0.012345679012345678
2014-04-23,372232.595049,58,16,1782,0.008978675645342313
2014-04-24,320875.477858,460,41,1782,0.023007856341189674
2014-04-25,357173.708433,22,14,1782,0.007856341189674524
2014-04-26,497334.73503599997,39,15,1782,0.008417508417508417
2014-04-27,560508.420995,52,18,1782,0.010101010101010102
2014-04-28,362271.9169815,65,22,1782,0.012345679012345678
2014-04-29,326338.348031,73,25,1782,0.014029180695847363
2014-04-30,357079.964912,86,31,1782,0.01739618406285073
2014-05-01,530380.848064,547,51,1782,0.02861952861952862
2014-05-02,443284.891212,215,22,1782,0.012345679012345678
2014-05-03,610391.748971,72,27,1782,0.015151515151515152
2014-05-04,646164.863883,58,24,1782,0.013468013468013467
2014-05-05,427601.704071,67,22,1782,0.012345679012345678
2014-05-06,388945.890086,84,27,1782,0.015151515151515152
2014-05-07,391932.183945,71,24,1782,0.013468013468013467
2014-05-08,337483.713217,472,42,1782,0.02356902356902357
2014-05-09,381335.196055,218,26,1782,0.014590347923681257
2014-05-10,577012.026997,61,24,1782,0.013468013468013467
2014-05-11,454512.928937,59,22,1782,0.012345679012345678
2014-05-12,398251.889006,61,26,1782,0.014590347923681257
2014-05-13,360734.522978,65,32,1782,0.017957351290684626
2014-05-14,356373.806985,151,74,1782,0.04152637485970819
2014-05-15,332272.8296378,534,70,1782,0.03928170594837262
2014-05-16,380822.742652,1188,88,1782,0.04938271604938271
2014-05-17,537873.964019,129,52,1782,0.029180695847362513
2014-05-18,634519.7368283,139,59,1782,0.03310886644219978
2014-05-19,388814.744958,110,57,1782,0.03198653198653199
2014-05-20,354372.33997,157,66,1782,0.037037037037037035
2014-05-21,356898.483031,191,97,1782,0.05443322109988777
2014-05-22,310660.142642,1561,149,1782,0.08361391694725027
2014-05-23,349549.892726,1274,117,1782,0.06565656565656566
2014-05-24,516627.261707,220,84,1782,0.04713804713804714
2014-05-25,573412.21016,218,76,1782,0.04264870931537598
2014-05-26,373831.086112,188,72,1782,0.04040404040404041
2014-05-27,327642.143098,196,83,1782,0.04657687991021325
2014-05-28,338481.784057,192,91,1782,0.051066217732884396
2014-05-29,326624.5773325,1586,149,1782,0.08361391694725027
2014-05-30,375782.6398709,1224,114,1782,0.06397306397306397
2014-05-31,597192.467989,267,97,1782,0.05443322109988777
2014-06-01,742732.830236,123,57,1782,0.03198653198653199
2014-06-02,512725.7729758,195,81,1782,0.045454545454545456
2014-06-03,443636.187975,213,90,1782,0.050505050505050504
2014-06-04,423284.494993,236,119,1782,0.06677890011223345
2014-06-05,359474.513823,1616,165,1782,0.09259259259259259
2014-06-06,391266.125449,1264,126,1782,0.0707070707070707
2014-06-07,557142.461024,197,95,1782,0.05331088664421998
2014-06-08,626026.956957,215,93,1782,0.05218855218855219
2014-06-09,415798.946041,199,96,1782,0.05387205387205387
2014-06-10,351689.4229725,199,88,1782,0.04938271604938271
2014-06-11,373828.16418,258,124,1782,0.06958473625140292
2014-06-12,329408.06736,1979,195,1782,0.10942760942760943
2014-06-13,392308.374573,1335,166,1782,0.0931537598204265
2014-06-14,622072.988944,278,124,1782,0.06958473625140292
2014-06-15,441279.9339945,250,111,1782,0.06228956228956229
2014-06-16,447450.23987,338,133,1782,0.07463524130190796
2014-06-17,380396.036044,380,165,1782,0.09259259259259259
2014-06-18,373408.6641423,425,177,1782,0.09932659932659933
2014-06-19,332280.935096,2359,257,1782,0.1442199775533109
2014-06-20,369206.789547,1933,202,1782,0.11335578002244669
2014-06-21,538613.855166,308,145,1782,0.0813692480359147
2014-06-22,591184.1240535,360,165,1782,0.09259259259259259
2014-06-23,414929.6359765,237,108,1782,0.06060606060606061
2014-06-24,340464.7450455,266,130,1782,0.07295173961840629
2014-06-25,355342.398017,354,175,1782,0.09820426487093153
2014-06-26,315798.180924,2168,237,1782,0.132996632996633
2014-06-27,370793.573429,2732,235,1782,0.13187429854096522
2014-06-28,510870.81398,425,186,1782,0.10437710437710437
2014-06-29,567218.8850125,302,146,1782,0.0819304152637486
2014-06-30,429324.0552005,352,176,1782,0.09876543209876543
2014-07-01,720480.616788,2320,264,1782,0.14814814814814814
2014-07-02,747430.1471275,4310,295,1782,0.16554433221099887
2014-07-03,583844.7207922,2383,331,1782,0.18574635241301907
2014-07-04,595424.31324,4056,345,1782,0.1936026936026936
2014-07-05,817307.1101677,610,254,1782,0.1425364758698092
2014-07-06,918276.596259,583,237,1782,0.132996632996633
2014-07-07,638526.428909,492,214,1782,0.12008978675645342
