store_nbr,observed_days,total_sales,mean_daily_sales,median_daily_sales,std_daily_sales,min_daily_sales,max_daily_sales,total_promotion_units,mean_promoted_families_pct,mean_zero_sales_families_pct,daily_sales_cv,sales_share_pct,city,state,store_type,cluster
9,1684,26409441.0647935,15682.565952965262,14573.3554875,5987.354973056349,0.0,58939.425,177356,0.2227200748578421,0.21946303894047361,0.3817841411292939,0.024597927844398265,Quito,Pichincha,B,6
6,1684,25183679.997054,14954.679333167458,14510.744999999999,5644.004381097329,0.0,37344.259,169761,0.2508277549845246,0.22709278053696105,0.37740724861814257,0.02345624588964749,Quito,Pichincha,D,13
24,1684,23767732.701713,14113.85552358254,14648.95696,5842.193661407954,0.0,54672.03997,156253,0.2226660908371122,0.26148060174188437,0.4139332198523895,0.022137423226312146,Guayaquil,Guayas,D,1
2,1684,21557388.6445642,12801.299670168764,12574.829995,5692.235683417445,0.0,136457.427,158149,0.2320952997912618,0.21597207226660908,0.4446607633662561,0.02007869417196948,Quito,Pichincha,D,13
39,1684,20252192.53354,12026.242597114015,11659.857498500001,5118.0812536468065,0.0,102862.54100000001,173560,0.22403368602893542,0.21820341179011013,0.4255760859900675,0.018863025893227983,Cuenca,Azuay,B,6
37,1684,19970635.6144784,11859.047277006177,12111.9285,3513.0881673154213,0.0,24581.945001,151099,0.22842438638163104,0.215738141510113,0.2962369645095388,0.018600781919106132,Cuenca,Azuay,D,2
27,1684,19188021.3815342,11394.311984283966,11141.2735,4704.777363357718,0.0,40102.02301,153180,0.22651695098250918,0.2218923198733175,0.4129057875409204,0.017871849853306993,Daule,Guayas,D,1
4,1684,18909700.380001,11229.038230404394,10947.1210005,4201.652568669029,0.0,26557.102,151932,0.22768660476498956,0.2272727272727273,0.3741774212944072,0.017612619834144607,Quito,Pichincha,D,9
38,1684,18859999.2605296,11199.524501502137,10576.697,4129.17202132078,0.0,26825.178,147223,0.24026488159504789,0.21994889512704238,0.3686917262216761,0.017566327883188737,Loja,Loja,D,4
40,1684,18395757.405968,10923.846440598574,11088.875,4363.089475500383,0.0,30500.983,140054,0.1904016411142302,0.31177571438854096,0.39940963095974336,0.017133929953492336,Machala,El Oro,C,3
28,1684,18383154.8339259,10916.3627279845,10145.873505,5109.681521323636,0.0,36743.614005,165200,0.21501835456704813,0.2711077521053768,0.468075461456111,0.017122191834651242,Guayaquil,Guayas,E,10
17,1684,18030969.250161,10707.226395582542,10119.142995,4446.619251660806,0.0,29398.391,136778,0.1785071618800835,0.3047937810408119,0.4152914197737837,0.016794163855716276,Quito,Pichincha,C,12
31,1684,17746872.701507,10538.522981892516,10040.744503,4265.052706017304,0.0,52419.513999999996,150972,0.196159936658749,0.26146260706830776,0.4047106708734797,0.016529554453817586,Babahoyo,Los Rios,B,10
34,1684,17090734.15915,10148.892018497625,9980.556499999999,2615.7105886304294,0.0,29824.028,150651,0.20616497516735047,0.24778665515007556,0.2577336111038495,0.015918422681614277,Guayaquil,Guayas,B,6
43,1684,16391692.2119096,9733.783973818052,9295.173999999999,3696.1949459120556,0.0,25715.442,124340,0.1646872525732383,0.3435543079248542,0.3797284751597207,0.015267330394721855,Esmeraldas,Esmeraldas,E,10
5,1684,15592404.5723532,9259.147608285748,9139.3125,2517.773498920574,0.0,22555.5059995,149370,0.23779961131505073,0.22338587778017707,0.2719228168117214,0.014522868607874816,Santo Domingo,Santo Domingo de los Tsachilas,D,4
36,1684,15322431.096578,9098.830817445369,9287.305499999999,4350.956926301449,0.0,23629.436,158527,0.20506730007917656,0.3469553012308357,0.4781885731911042,0.014271413529339565,Libertad,Guayas,E,10
41,1684,14991039.1385844,8902.042243814964,8520.271505,3946.4385924093085,0.0,25670.467,141329,0.22682286043331173,0.22624703087885986,0.4433183402551531,0.01396275287079169,Machala,El Oro,D,4
33,1684,14178501.293449,8419.53758518349,8037.705,2859.2208621133755,0.0,22169.68898,136113,0.19518822428561144,0.3317498020585906,0.33959357425340875,0.013205949754949613,Quevedo,Los Rios,C,3
1,1684,14145012.8696541,8399.651347775594,8455.425,3430.440745334329,0.0,21788.9,138020,0.2142985676239833,0.2303138271071763,0.40840275426941175,0.013174758415833099,Quito,Pichincha,D,13
18,1684,13259375.6899043,7873.738533197328,7624.8800025,3948.410808144781,0.0,29701.359,134087,0.15975671201324407,0.3183617649175844,0.5014658273826919,0.012349870096903722,Quito,Pichincha,B,16
19,1684,13049509.836733,7749.115104948338,7402.065495,2829.38464195143,0.0,20718.453,111634,0.15543799035485495,0.29545454545454547,0.3651235790967507,0.012154399655077804,Guaranda,Bolivar,C,15
20,1684,12920954.5928321,7672.775886479869,7918.158995,8763.811483061594,0.0,117725.098,157358,0.18575901533146189,0.5447167638379039,1.1421956815530387,0.012034662451789966,Quito,Pichincha,B,6
23,1684,11651380.6749087,6918.872134743883,7026.472001,1801.05916176107,0.0,14079.289,128989,0.2076225437270568,0.2822284603757288,0.2603110921383923,0.010852172918990231,Ambato,Tungurahua,D,9
15,1684,11451270.022648,6800.041581144893,6830.9395,1826.393146123246,0.0,17315.3,120308,0.16857410206578852,0.29748794356870367,0.2685855850039882,0.010665788535726395,Ibarra,Imbabura,C,15
25,1684,11420997.8725745,6782.065244996735,5785.175005,4758.897551527507,0.0,39140.2669,113542,0.19266896998488448,0.29739797020082054,0.7016885535034098,0.01063759285519776,Salinas,Santa Elena,D,1
14,1684,11387918.748218,6762.422059511877,6536.87399,2287.8494329202354,0.0,16445.920004,113036,0.16454329518462535,0.3467393651479162,0.3383180482948703,0.010606782740281628,Riobamba,Chimborazo,C,7
53,1684,11216167.2826831,6660.43187807785,6319.150009999999,5838.502362312684,0.0,29039.399,204016,0.23450658605052901,0.43237601669905706,0.8765951621740228,0.010446812290849091,Manta,Manabi,D,13
54,1684,11057483.1179049,6566.201376428087,6154.038014,2785.0237062094884,0.0,25723.128,142724,0.19873317498020587,0.34747714676455765,0.42414533861349507,0.010299012811651999,El Carmen,Manabi,C,3
16,1684,10986412.5547492,6523.997954126603,6164.4365,2053.2690658015904,0.0,16480.830999,114197,0.17659972648096162,0.3452997912617865,0.3147255839500751,0.010232817219701545,Santo Domingo,Santo Domingo de los Tsachilas,C,3
12,1684,10659217.957236,6329.70187484323,6393.814,2210.967885716054,0.0,20826.648,117657,0.1609623551428777,0.33831785791405744,0.34930047724732904,0.009928066010429044,Latacunga,Cotopaxi,C,15
13,1684,10523045.81794,6248.839559346794,5983.871,2025.615292202654,0.0,16745.10001,103858,0.1647412365939682,0.33156985532282446,0.32415863344943946,0.009801234380459956,Latacunga,Cotopaxi,C,15
29,1684,9725157.696084,5775.034261332542,6320.884497999999,6106.545472562834,0.0,31367.553,153632,0.17636579572446556,0.5721766357158281,1.0574041981793887,0.009058076113643006,Guayaquil,Guayas,E,10
10,1684,9613905.735863,5708.970151937649,5486.058995,1695.5618454815108,0.0,21348.77401,103223,0.17258691427337508,0.33158784999640106,0.296999598939229,0.008954455303064317,Quito,Pichincha,C,15
21,1684,9255505.91021,5496.143652143705,0.0,6768.344067306599,0.0,33689.36398,144062,0.16303174260418918,0.6130065500611819,1.2314714635718604,0.008620639338189169,Santo Domingo,Santo Domingo de los Tsachilas,B,6
42,1684,8945767.8851627,5312.21370852892,0.0,6464.3891626170625,0.0,24567.106,124670,0.16108831785791405,0.6221658389116822,1.2168917738076483,0.008332147295813584,Cuenca,Azuay,D,2
26,1684,7755121.8918648,4605.179270703563,4118.736489000001,2417.975853426224,0.0,43563.033,111498,0.20366371554020007,0.3092384654142374,0.5250557494707072,0.007223171753335829,Guayaquil,Guayas,D,10
35,1684,7676679.4216696,4558.598231395249,4416.036,2353.9101900017668,0.0,50977.86099,110104,0.19176923630605341,0.39116821420859427,0.5163671090359078,0.007150109918476698,Playas,Guayas,C,3
30,1684,7382073.663963,4383.654194752376,4355.053999,1631.613573572073,0.0,16785.352,103096,0.16161016339163606,0.3393615489815015,0.3722039880621194,0.006875712169852181,Guayaquil,Guayas,C,3
32,1684,5951795.9975515,3534.3206636291566,3279.6635,1519.3455716465596,0.0,25127.471,89932,0.16267184913265673,0.3957928453177859,0.42988334003809536,0.005543542104248427,Guayaquil,Guayas,C,3
22,1684,4090201.7408,2428.8608912114014,0.0,3168.5743938746164,0.0,21571.01001,99543,0.13307061109911467,0.6854890952278125,1.304551613202632,0.0038096409175184965,Puyo,Pastaza,C,7
52,1684,2696169.733249,1601.0509104804037,0.0,5984.923474977776,0.0,35185.52097,30814,0.03514359749514144,0.9353991218599295,3.7381219021835905,0.002511230297983135,Manta,Manabi,A,11
