year,month,year_month,observed_days,total_sales,mean_daily_sales,median_daily_sales,total_promotion_units,mean_zero_sales_pct,calendar_days_in_month,is_complete_month
2014,11,2014-11,30,20531635.2036432,684387.84012144,602112.3750465,71034,0.27762813318368873,30,True
2014,12,2014-12,30,24340454.3638302,811348.47879434,790233.1178915,91907,0.26518892630003743,31,False
2015,1,2015-01,31,14896922.0571985,480545.8728128548,439381.226073,53148,0.4495673581695087,31,True
2015,2,2015-02,28,13742395.8483812,490799.85172790004,454962.649551,40744,0.41778900112233447,28,True
2015,3,2015-03,31,15598607.5183553,503180.88768888067,463723.974873,42360,0.41001411969153906,31,True
2015,4,2015-04,30,14955068.1707755,498502.2723591833,458721.724877,54375,0.4002992891881781,30,True
2015,5,2015-05,31,17730368.244309,571947.3627196451,509493.227021,62882,0.376470801201984,31,True
2015,6,2015-06,30,21615360.3512421,720512.01170807,671093.1245655001,97827,0.24450056116722782,30,True
2015,7,2015-07,31,22209619.0387389,716439.3238302871,664505.100179,112742,0.24532058940661092,31,True
2015,8,2015-08,31,22963674.241281502,740763.6852026291,694747.161863,105614,0.2150356612722204,31,True
2015,9,2015-09,30,23240882.4779112,774696.08259704,709137.7905270001,140873,0.20845491956603068,30,True
2015,10,2015-10,31,23878267.6645621,770266.6988568419,699259.488037,115220,0.18685058470004706,31,True
2015,11,2015-11,30,22804953.3682112,760165.1122737066,693215.836624,128497,0.1846240179573513,30,True
2015,12,2015-12,30,27243981.6737737,908132.7224591232,869015.800799,132993,0.17676767676767677,31,False
2016,1,2016-01,31,23977804.8854341,773477.5769494871,709784.229951,119578,0.20757756779262154,31,True
2016,2,2016-02,29,21947408.8010028,756807.2000345794,726619.7578255,183541,0.1772514416192577,29,True
2016,3,2016-03,31,23131780.8838199,746186.4801232226,690469.800941,181790,0.1840809528981572,31,True
2016,4,2016-04,30,25963025.1019622,865434.1700654067,826148.21802675,215312,0.176225215114104,30,True
2016,5,2016-05,31,24779432.2602277,799336.5245234742,761422.5161262,370019,0.16945440063719633,31,True
2016,6,2016-06,30,22209218.5803836,740307.2860127867,695641.7427721999,285416,0.1806771417882529,30,True
2016,7,2016-07,31,23462672.4331036,756860.401067858,697383.602092,264605,0.18437058759639405,31,True
2016,8,2016-08,31,22452414.3178949,724271.4296095128,715195.5388238,271592,0.18551102422070165,31,True
2016,9,2016-09,30,22417448.0969967,747248.26989989,686535.971721,296361,0.20415263748597082,30,True
2016,10,2016-10,31,24030389.816292,775173.8650416774,710456.4240015,370514,0.1965533470909815,31,True
2016,11,2016-11,30,24642640.1973935,821421.3399131167,782019.559934,438358,0.18428731762065095,30,True
2016,12,2016-12,30,29640287.5793851,988009.5859795033,942040.0498895501,517498,0.16139169472502807,31,False
2017,1,2017-01,31,26328159.9357051,849295.4817969387,782656.0246723,363428,0.18397233988631836,31,True
2017,2,2017-02,28,23250112.3749368,830361.1562477428,779657.1825814999,297254,0.16051386884720217,28,True
2017,3,2017-03,31,26704017.6908793,861419.9255122355,812306.77427,339291,0.15287281416313672,31,True
2017,4,2017-04,30,25895308.489555098,863176.9496518367,793779.1033775001,371042,0.1444257388701833,30,True
2017,5,2017-05,31,26911847.250593,868124.1048578387,807803.8950783,414646,0.1304985337243402,31,True
2017,6,2017-06,30,25682822.1249936,856094.07083312,793131.26490045,394582,0.14218106995884774,30,True
2017,7,2017-07,31,27011477.5658307,871337.9859945388,818325.522149,409128,0.14458202092610695,31,True
2017,8,2017-08,15,12433322.9407775,828888.1960518333,797464.963817,160278,0.14601571268237937,31,False
