date,total_sales,mean_sales_per_row,median_sales_per_row,total_promotion_units,rows_with_promotion,zero_sales_rows,total_rows,calendar_event_count,transferred_event_count,unique_locale_names,non_transferred_event_count,is_calendar_event,has_non_transferred_event,has_transferred_event,holiday_type_additional,holiday_type_bridge,holiday_type_event,holiday_type_holiday,holiday_type_transfer,holiday_type_work_day,holiday_locale_local,holiday_locale_national,holiday_locale_regional,rows_with_promotion_pct,zero_sales_pct,is_year_start
2013-01-12,403258.2120105,226.2952929351852,0.0,0,0,909,1782,1,0,1,1,True,True,False,0,0,0,0,0,1,0,1,0,0.0,0.51010101010101,False
2013-01-13,464638.547998,260.7399259248036,0.0,0,0,951,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5336700336700336,False
2013-01-14,293348.362078,164.61748713692478,0.0,0,0,941,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5280583613916947,False
2013-01-15,299129.549954,167.86170031088665,0.0,0,0,927,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5202020202020202,False
2013-01-16,318347.913946,178.64641635578002,0.0,0,0,944,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5297418630751964,False
2013-01-17,267498.5159755,150.11140065965208,0.0,0,0,927,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5202020202020202,False
2013-01-18,296130.850028,166.17892818630753,0.0,0,0,927,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5202020202020202,False
2013-01-19,432459.852021,242.6822963080808,0.0,0,0,911,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5112233445566778,False
2013-01-20,461092.386047,258.7499360533109,0.0,0,0,956,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5364758698092031,False
2013-01-21,311211.26595,174.64156338383836,0.0,0,0,943,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5291806958473625,False
2013-01-22,296214.728983,166.22599830695847,0.0,0,0,939,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5269360269360269,False
2013-01-23,283258.4530325,158.95536084876542,0.0,0,0,939,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5269360269360269,False
2013-01-24,247245.690995,138.74617900953984,0.0,0,0,942,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5286195286195287,False
2013-01-25,290022.77193,162.75127493265992,0.0,0,0,936,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5252525252525253,False
2013-01-26,413799.7679753,232.21086867300787,0.0,0,0,915,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5134680134680135,False
2013-01-27,430411.991233,241.53310394668912,0.0,0,0,970,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5443322109988776,False
2013-01-28,285460.169953,160.19089222951737,0.0,0,0,943,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5291806958473625,False
2013-01-29,264488.8180765,148.42245683305276,0.0,0,0,934,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5241301907968574,False
2013-01-30,281061.127052,157.72229351964086,0.0,0,0,936,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5252525252525253,False
2013-01-31,271254.217996,152.21897755106622,0.0,0,0,933,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5235690235690236,False
2013-02-01,369402.055266,207.2963273097643,0.0,0,0,915,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5134680134680135,False
2013-02-02,518887.462705,291.18263900392816,0.0,0,0,909,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.51010101010101,False
2013-02-03,486336.82018,272.91628517396185,0.0,0,0,954,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5353535353535354,False
2013-02-04,344308.715017,193.21476712514027,0.0,0,0,917,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5145903479236813,False
2013-02-05,321245.83913,180.2726369977553,0.0,0,0,936,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5252525252525253,False
2013-02-06,321538.177149,180.436687513468,0.0,0,0,937,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5258136924803591,False
2013-02-07,290807.530973,163.19165598933782,0.0,0,0,934,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5241301907968574,False
2013-02-08,347441.789912,194.9729460785634,0.0,0,0,927,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5202020202020202,False
2013-02-09,416176.2790747,233.54448881857465,0.0,0,0,913,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5123456790123457,False
2013-02-10,300951.328993,168.88402300392815,0.0,0,0,921,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5168350168350169,False
2013-02-11,278627.588926,156.35667167564534,0.0,0,0,932,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.5230078563411896,False
2013-02-12,308800.7909121,173.28888378905725,0.0,0,0,922,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.5173961840628507,False
2013-02-13,319597.929962,179.3478843782267,0.0,0,0,926,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5196408529741863,False
2013-02-14,308164.016957,172.93154711391696,0.0,0,0,931,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5224466891133558,False
2013-02-15,320168.883912,179.668285023569,0.0,0,0,940,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5274971941638609,False
2013-02-16,485660.494008,272.5367530909091,0.0,0,0,960,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5387205387205387,False
2013-02-17,399588.910014,224.2362009057239,0.0,0,0,968,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5432098765432098,False
2013-02-18,350745.573191,196.8269209826038,0.0,0,0,929,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.521324354657688,False
2013-02-19,293637.801951,164.7799113080808,0.0,0,0,927,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5202020202020202,False
2013-02-20,313803.162034,176.0960505241302,0.0,0,0,923,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5179573512906847,False
2013-02-21,267711.1090155,150.23070090656566,0.0,0,0,936,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5252525252525253,False
2013-02-22,285679.869131,160.31418020819305,0.0,0,0,933,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5235690235690236,False
2013-02-23,412897.349113,231.70446078170593,0.0,0,0,920,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5162738496071829,False
2013-02-24,452726.126103,254.05506515319865,0.0,0,0,958,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5375982042648709,False
2013-02-25,307110.875933,172.34055888496073,0.0,0,0,931,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5224466891133558,False
2013-02-26,270425.0070675,151.7536515530303,0.0,0,0,934,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5241301907968574,False
2013-02-27,288401.998919,161.84175023512904,0.0,0,0,931,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5224466891133558,False
2013-02-28,278116.291888,156.0697485342312,0.0,0,0,924,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5185185185185185,False
2013-03-01,378898.165064,212.62523292031426,0.0,0,0,907,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5089786756453423,False
2013-03-02,547857.205258,307.43950912345673,0.0,0,0,898,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,1,0,0,0.0,0.5039281705948373,False
2013-03-03,559820.580027,314.1529629781145,0.0,0,0,946,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5308641975308642,False
2013-03-04,383647.679097,215.29050454377105,0.0,0,0,918,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5151515151515151,False
2013-03-05,332189.993189,186.41413759203144,0.0,0,0,910,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.510662177328844,False
2013-03-06,335726.580968,188.39875475196408,0.0,0,0,906,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5084175084175084,False
2013-03-07,293099.52701,164.4778490516274,0.0,0,0,929,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.521324354657688,False
2013-03-08,316600.679967,177.6659259074074,0.0,0,0,917,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5145903479236813,False
2013-03-09,453259.496866,254.35437534567902,1.0,0,0,889,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4988776655443322,False
2013-03-10,461859.756153,259.1805590084175,0.0,0,0,944,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5297418630751964,False
2013-03-11,318379.133021,178.6639354775533,0.0,0,0,926,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5196408529741863,False
2013-03-12,271823.37801,152.53837149831648,0.0,0,0,917,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5145903479236813,False
2013-03-13,287869.663972,161.54302130864198,0.0,0,0,925,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5190796857463524,False
2013-03-14,247541.420096,138.9121324893378,0.0,0,0,921,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5168350168350169,False
2013-03-15,315878.090213,177.26043221829406,0.0,0,0,916,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5140291806958474,False
2013-03-16,482233.433961,270.61359930471383,1.0,0,0,875,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4910213243546577,False
2013-03-17,513439.584913,288.1254685258137,0.0,0,0,913,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5123456790123457,False
2013-03-18,330283.80303,185.34444614478116,0.0,0,0,903,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5067340067340067,False
2013-03-19,294020.245897,164.9945263170595,0.0,0,0,904,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5072951739618407,False
2013-03-20,321207.006946,180.25084564870932,1.0,0,0,890,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4994388327721661,False
2013-03-21,269130.127953,151.02700782996635,0.0,0,0,903,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5067340067340067,False
2013-03-22,304100.453969,170.65120873681258,0.5,0,0,891,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5,False
2013-03-23,453192.003086,254.31650004826037,1.0,0,0,867,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.48653198653198654,False
2013-03-24,449794.636951,252.41000951234568,0.0,0,0,918,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5151515151515151,False
2013-03-25,317559.6099585,178.20404599242426,0.0,0,0,902,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5061728395061729,False
2013-03-26,275818.2359,154.78015482603817,0.0,0,0,895,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5022446689113356,False
2013-03-27,313691.148998,176.03319247923682,0.0,0,0,902,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5061728395061729,False
2013-03-28,339293.269022,190.40026319977554,1.0,0,0,887,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49775533108866443,False
2013-03-29,345513.132,193.89064646464647,1.0,0,0,884,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49607182940516276,False
2013-03-30,452661.356036,254.01871831425365,1.0,0,0,874,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4904601571268238,False
2013-03-31,462107.639956,259.31966327497196,0.0,0,0,912,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5117845117845118,False
2013-04-01,428816.447912,240.63773732435465,0.0,0,0,895,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,0,1,0.0,0.5022446689113356,False
2013-04-02,377732.827961,211.97128392873174,1.0,0,0,878,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49270482603815935,False
2013-04-03,373731.0758793,209.72563180656567,1.0,0,0,882,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.494949494949495,False
2013-04-04,308738.385963,173.25386417676768,0.0,0,0,901,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5056116722783389,False
2013-04-05,336394.782031,188.77372729012347,0.0,0,0,895,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5022446689113356,False
2013-04-06,509424.214023,285.87217397474745,1.0,0,0,873,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4898989898989899,False
2013-04-07,519048.376884,291.2729387676768,0.0,0,0,921,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5168350168350169,False
2013-04-08,346649.815943,194.5285162418631,0.0,0,0,894,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5016835016835017,False
2013-04-09,306335.8019617,171.9056127731201,1.0,0,0,889,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4988776655443322,False
2013-04-10,312846.374941,175.55913296352415,0.0,0,0,896,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5028058361391695,False
2013-04-11,303223.41301,170.15904209315377,0.0,0,0,904,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5072951739618407,False
2013-04-12,314394.967035,176.42815209595958,1.0,0,0,887,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,1,0,0,0.0,0.49775533108866443,False
2013-04-13,453442.497048,254.45706905050505,1.0,0,0,869,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4876543209876543,False
2013-04-14,478417.148813,268.472025147587,0.0,0,0,916,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,1,0,0,0.0,0.5140291806958474,False
2013-04-15,338712.458055,190.0743311195286,0.5,0,0,891,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5,False
2013-04-16,333431.88004899997,187.11104379854095,0.0,0,0,900,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5050505050505051,False
2013-04-17,334990.518942,187.98570086531987,0.0,0,0,895,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5022446689113356,False
2013-04-18,281924.509951,158.20679570763187,0.0,0,0,902,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5061728395061729,False
2013-04-19,311588.70494,174.8533697755331,0.0,0,0,894,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5016835016835017,False
2013-04-20,459884.838043,258.07229968742985,1.0,0,0,870,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4882154882154882,False
2013-04-21,485721.032087,272.5707250768799,0.0,0,0,919,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,1,0,0,0.0,0.5157126823793491,False
2013-04-22,328886.320986,184.560225020202,0.0,0,0,900,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5050505050505051,False
2013-04-23,302097.8329435,169.52740344753087,0.0,0,0,895,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5022446689113356,False
2013-04-24,310555.184925,174.27339221380473,0.0,0,0,903,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5067340067340067,False
2013-04-25,268790.618996,150.83648652974185,0.0,0,0,911,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5112233445566778,False
2013-04-26,304413.556952,170.8269118698092,0.0,0,0,900,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5050505050505051,False
2013-04-27,446665.337895,250.65394943602695,1.0,0,0,885,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49663299663299665,False
2013-04-28,477623.4729303,268.0266402526936,0.0,0,0,923,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5179573512906847,False
2013-04-29,328795.874018,184.50946914590347,1.0,0,0,888,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.4983164983164983,False
2013-04-30,310186.466894,174.06647973849607,1.0,0,0,882,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.494949494949495,False
2013-05-01,507974.636889,285.0587187929293,1.0,0,0,869,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.4876543209876543,False
2013-05-02,348709.460063,195.68432102300784,0.0,0,0,892,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.500561167227834,False
2013-05-03,374291.2510323,210.0399837442761,1.0,0,0,888,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4983164983164983,False
2013-05-04,520339.51596499997,291.9974837065095,1.0,0,0,871,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4887766554433221,False
2013-05-05,580268.550981,325.6276941531986,0.0,0,0,914,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5129068462401796,False
2013-05-06,369869.383046,207.55857634455666,1.0,0,0,889,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4988776655443322,False
2013-05-07,317292.964148,178.05441310213243,0.0,0,0,899,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5044893378226711,False
2013-05-08,332477.410968,186.57542703030305,0.0,0,0,900,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5050505050505051,False
2013-05-09,305868.0570225,171.6431296422559,1.0,0,0,878,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49270482603815935,False
2013-05-10,335937.441949,188.5170830241302,1.0,0,0,879,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49326599326599324,False
2013-05-11,512090.58108,287.36845178451176,2.0,0,0,843,1782,1,0,1,1,True,True,False,1,0,0,0,0,0,0,1,0,0.0,0.4730639730639731,False
2013-05-12,387860.5050145,217.6546043852413,0.0,0,0,915,1782,2,0,2,2,True,True,False,0,0,1,1,0,0,1,1,0,0.0,0.5134680134680135,False
2013-05-13,350598.06187,196.74414246352413,1.0,0,0,879,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49326599326599324,False
2013-05-14,308469.313119,173.10286931481482,1.0,0,0,877,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49214365881032546,False
2013-05-15,329113.560081,184.68774415319865,1.0,0,0,882,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.494949494949495,False
2013-05-16,307556.946937,172.59087931369245,1.0,0,0,888,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4983164983164983,False
2013-05-17,330004.241998,185.18756565544334,1.0,0,0,884,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49607182940516276,False
2013-05-18,480969.558942,269.9043540639731,1.0,0,0,854,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4792368125701459,False
2013-05-19,518153.554009,290.77079349551065,0.0,0,0,894,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5016835016835017,False
2013-05-20,341787.214991,191.7997839455668,1.0,0,0,882,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.494949494949495,False
2013-05-21,307178.399952,172.37845115151515,1.0,0,0,888,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4983164983164983,False
2013-05-22,301785.4831075,169.35212295594837,1.0,0,0,869,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4876543209876543,False
2013-05-23,289261.058026,162.32382605274972,1.0,0,0,874,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4904601571268238,False
2013-05-24,398389.241982,223.56298652188553,1.0,0,0,862,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.4837261503928171,False
2013-05-25,417930.141993,234.5286992104377,1.0,0,0,856,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.48035914702581367,False
2013-05-26,450631.400068,252.87957355106622,0.0,0,0,904,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5072951739618407,False
2013-05-27,321630.8309235,180.48868177525253,0.0,0,0,900,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5050505050505051,False
2013-05-28,307329.1680565,172.46305727076322,1.0,0,0,885,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49663299663299665,False
2013-05-29,309333.380899,173.58775583557798,0.5,0,0,891,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5,False
2013-05-30,304344.849939,170.78835574579122,1.0,0,0,877,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49214365881032546,False
2013-05-31,330257.841975,185.32987765151515,1.0,0,0,876,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49158249158249157,False
2013-06-01,566901.814988,318.1267199708193,1.0,0,0,864,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.48484848484848486,False
2013-06-02,637698.494958,357.85549660942763,0.0,0,0,898,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5039281705948373,False
2013-06-03,426332.097995,239.24360156846242,1.0,0,0,871,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4887766554433221,False
2013-06-04,369705.160085,207.46641980078562,1.0,0,0,873,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4898989898989899,False
2013-06-05,361791.080915,203.02529793209877,1.0,0,0,867,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.48653198653198654,False
2013-06-06,317496.765891,178.16877996127945,1.0,0,0,871,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4887766554433221,False
2013-06-07,357673.087977,200.71441525084174,1.0,0,0,878,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49270482603815935,False
2013-06-08,466292.699096,261.66818131088667,1.0,0,0,857,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.48092031425364756,False
2013-06-09,526804.730256,295.6255500875421,0.0,0,0,892,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.500561167227834,False
2013-06-10,349754.291978,196.2706464523008,1.0,0,0,878,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49270482603815935,False
2013-06-11,283858.2159925,159.2919281663861,1.0,0,0,889,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4988776655443322,False
2013-06-12,320173.5779987,179.67091919118968,1.0,0,0,872,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.489337822671156,False
2013-06-13,282886.9200452,158.74686871223344,1.0,0,0,883,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.49551066217732886,False
2013-06-14,326956.7421072,183.477408589899,1.0,0,0,874,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4904601571268238,False
2013-06-15,505950.6668701,283.92293314820427,1.0,0,0,851,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.4775533108866442,False
2013-06-16,435894.082881,244.6094741195286,0.0,0,0,908,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5095398428731762,False
